conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,język programowania Erlang,released,knowledge,sector-specific,,"Techniki i zasady opracowywania oprogramowania, takie jak analiza, algorytmy, kodowanie, testowanie i kompilacja paradygmatów programowania w języku Erlang.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programowanie komputerowe | tworzenie i analizowanie oprogramowania i aplikacji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,zarządzać klasyfikacją danych,released,skill/competence,sector-specific,,"Nadzór systemu klasyfikacji, używanego w organizacji używa do porządkowania swoich danych. Przypisać właściciela do każdej koncepcji danych lub zbioru pojęć i określić wartość każdej pozycji danych.",http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956 | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"zarządzać architekturą ICT dla danych | zarządzanie danymi cyfrowymi, ich gromadzenie i przechowywanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,struktura informacji,released,knowledge,sector-specific,,"Rodzaj infrastruktury, która określa format danych: częściowo ustrukturyzowane, nieustrukturyzowane i ustrukturyzowane.",http://data.europa.eu/esco/isced-f/0612,projektowanie baz danych i sieci oraz administrowanie nimi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,zarządzać tymczasowymi sieciami ICT na potrzeby występów na żywo,released,skill/competence,occupation-specific,,"Zarządzać ustawieniami sieci służących do dystrybucji sygnałów sterujących na potrzeby sztuk widowiskowych i wydarzeń. Koordynować działania z poszczególnymi użytkownikami. Planować i ustawiać sprzęt, okablowanie, połączenia i urządzenia. Konfigurować, testować i monitorować sprzęt oraz wydajność sieci. Sygnały sterujące obejmują na przykład DMX, RDM, MIDI, Timecode, dane dotyczące śledzenia i pozycjonowania, ale także sygnały dźwiękowe, wizyjne i sygnały pozwalające ustalić położenie.
   ",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,zakładanie systemów komputerowych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,śledzić transformację cyfrową procesów przemysłowych,released,skill/competence,sector-specific,,Być na bieżąco z cyfrowymi innowacjami mającymi zastosowanie do procesów przemysłowych. Zintegrować te transformacje w procesach firmy mających na celu stworzenie konkurencyjnych i rentownych modeli biznesowych.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,monitorowanie nowości w obszarze kompetencji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,instalować wyposażenie biurowe,released,skill/competence,occupation-specific,,"Podłączać urządzenia biurowe, takie jak modemy, skanery i drukarki, do sieci elektrycznej i wykonywać połączenia elektryczne, aby uniknąć niebezpiecznych różnic potencjałów. Sprawdzenie instalacji pod kątem właściwego funkcjonowania. Monitorowanie ustawień i przygotowywanie urządzenia do stosowania.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,wykonywanie ogólnych zadań biurowych i administracyjnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,released,knowledge,sector-specific,,"Techniki i zasady opracowywania oprogramowania, takie jak analiza, algorytmy, kodowanie, testowanie i kompilacja paradygmatów programowania w języku SAS.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a | http://data.europa.eu/esco/isced-f/0613,programowanie komputerowe | oprogramowanie systemowe do analizy statystycznej | tworzenie i analizowanie oprogramowania i aplikacji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,posługiwać się interfejsem właściwym dla danej aplikacji,released,skill/competence,sector-specific,,Znajomość i stosowanie interfejsów typowych dla aplikacji lub przypadku użycia.,http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,praca z wykorzystaniem komputerów
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,projektować układy elektryczne,released,skill/competence,cross-sector,,"Wykonywanie szkiców i projektowanie układów elektrycznych, produktów i komponentów za pomocą oprogramowania i sprzętu do projektowania wspomaganego komputerowo (CAD). Rysowanie układu paneli, schematów elektrycznych, schematów instalacji elektrycznej i innych szczegółów montażu.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,opracowywanie systemów i urządzeń elektrycznych lub elektronicznych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,definiować ustawienia zapory sieciowej,released,skill/competence,sector-specific,,Określić reguły rządzące zestawem komponentów mających na celu ograniczenie dostępu między grupami sieci lub określoną siecią a Internetem.,http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,ochrona urządzeń ict
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,obsługiwać systemy rejestrowania towarów w magazynach,released,skill/competence,sector-specific,,"Obsługa systemów do rejestrowania informacji o produkcie, opakowaniu i zamówieniach w określonych formatach i typach rejestrów.",http://data.europa.eu/esco/skill/7afb5a64-e574-421a-bb3a-7a7bc108d2a5 | http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,wykonywać operacje magazynowe | prowadzenie rejestrów operacyjnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,oprogramowanie CryEngine,released,knowledge,sector-specific,,"Silnik do gier CryEngine, który stanowi ramy oprogramowania składające się ze zintegrowanego środowiska rozwoju i specjalistycznych narzędzi projektowych przeznaczonych do szybkich iteracji gier komputerowych pochodzących od użytkowników.",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,systemy tworzenia gier cyfrowych | techniki audiowizualne i produkcja medialna
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,korzystać z projektowania wspomaganego komputerowo przy produkcji podeszew,released,skill/competence,sector-specific,korzystać z CAD przy produkcji podeszew,"Cyfryzacja i skanowanie ostatnich. Praca z plikami w różnych systemach CAD. Wytwarzanie modeli 3D podeszew i tworzenie projektów 2D z pomocą komputera. Ocena i uzyskiwanie serii rozmiarów. Przygotowywanie specyfikacji technicznych dla produkcji. Tworzenie wspomaganych komputerowo projektów 2D i 3D oraz rysunków technicznych form do podeszew wulkanizowanych i wtryskiwanych. Eksport plików modeli wirtualnych do drukarek 3D, systemów CAM lub CNC.",http://data.europa.eu/esco/skill/b34e2ba1-9080-48c9-9b42-ee9192a4d3f1 | http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,korzystać z oprogramowania CAD | stosowanie projektowania wspomaganego komputerowo i narzędzi kreślarskich
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,tworzyć środowisko 3D,released,skill/competence,sector-specific,,"Opracowywanie komputerowo generowanej reprezentacji 3d otoczenia, takiego jak symulowane środowisko, w którym użytkownicy wchodzą w interakcje.",http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85 | http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"obsługiwać oprogramowanie do tworzenia grafiki komputerowej 3D | projektowanie materiałów, systemów lub produktów przemysłowych"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,przeprowadzać analizę danych w internecie,released,skill/competence,cross-sector,,"Analiza doświadczenia online i danych online w celu zrozumienia zachowania użytkowników, czynników wywołujących uwagę online i innych czynników, które mogą zoptymalizować rozwój i ekspozycję stron internetowych.",http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"przeprowadzać analizę danych | przetwarzać informacje jakościowe | zarządzanie danymi cyfrowymi, ich gromadzenie i przechowywanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,nadzorować stosowanie zasad i norm bezpieczeństwa w informatyce,released,skill/competence,sector-specific,,"Kierować stosowaniem i spełnianiem odpowiednich norm branżowych, najlepszych praktyk i wymogów prawnych dotyczących bezpieczeństwa informacji.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"zarządzanie danymi cyfrowymi, ich gromadzenie i przechowywanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,kluczowe słowa w kontekście treści cyfrowych,released,knowledge,sector-specific,,Narzędzia cyfrowe do prowadzenia wyszukiwania na podstawie słów kluczowych. Systemy wyszukiwania informacji określają treść dokumentu na podstawie słów kluczowych i metadanych.,http://data.europa.eu/esco/isced-f/0611,obsługa i użytkowanie komputerów
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,usługa w zakresie nazw domen,released,knowledge,sector-specific,serwer DNS,"Nadawanie bazom danych nazw, w ramach którego następuje przyporządkowanie nazw domen internetowych do adresów protokołu internetowego (ip). System nazw domen umożliwia użytkownikom internetu korzystanie z nazw, takich jak tytuły stron internetowych, zamiast zapamiętywania numerycznych adresów ip używanych przez komputery do zlokalizowania konkretnej strony internetowej.",http://data.europa.eu/esco/isced-f/0612,projektowanie baz danych i sieci oraz administrowanie nimi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,opracowywać modele wyrobów medycznych,released,skill/competence,sector-specific,,"Modelowanie i symulacja wyrobów medycznych z użyciem technicznego oprogramowania do projektowania.
   ",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,stosowanie projektowania wspomaganego komputerowo i narzędzi kreślarskich
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,używać mapy doświadczeń klienta,released,skill/competence,sector-specific,,"Zbadać wszystkie interakcje i punkty kontaktu ludzi z produktem, marką lub usługą. Określić kluczowe zmienne, takie jak czas trwania i częstotliwość każdego punktu styku.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"zarządzanie danymi cyfrowymi, ich gromadzenie i przechowywanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,oprogramowanie do tworzenia napisów dla niesłyszących,released,knowledge,occupation-specific,,"Różne oprogramowanie do tworzenia napisów i podtytułów pliku, które łączy się z rzeczywistym materiałem filmowym, takie jak Telestream i MovieCaptioners.",http://data.europa.eu/esco/isced-f/0613,tworzenie i analizowanie oprogramowania i aplikacji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,schematy podpisów w technologii blockchain,released,knowledge,sector-specific,schematy podpisów dla blockchain | schematy podpisu cyfrowego,"Podstawowe schematy podpisu cyfrowego obejmują schemat RSA, schemat El-Gamal, funkcje skrótu, ataki urodzinowe i standard podpisów cyfrowych.
	",http://data.europa.eu/esco/isced-f/0612,projektowanie baz danych i sieci oraz administrowanie nimi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalizować dane,released,skill/competence,sector-specific,poddawać dane normalizacji | sprowadzać dane do podstawowej postaci | znormalizować dane | wstępne przygotowanie danych,"Redukowanie danych do ich precyzyjnej formy podstawowej (formy normalne), aby osiągnąć takie wyniki, jak minimalizacja zależności, eliminacja redundancji, zwiększenie spójności.",http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"opracowywać procesy przetwarzania danych | zarządzanie danymi cyfrowymi, ich gromadzenie i przechowywanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,tworzyć prototypy rozwiązań typu user experience,released,skill/competence,sector-specific,user experience | tworzyć prototypy rozwiązań Uxl tworzyć prototypy rozwiązań na potrzeby doświadczenia użytkownika | opracowywać prototypy na potrzeby testowania rozwiązań typu user experience | UX,"Projektowanie i przygotowywanie makiet, prototypów i przepływów w celu przetestowania rozwiązań User Experience (UX) lub zebrania opinii od użytkowników, klientów, partnerów oraz interesariuszy.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,zarządzanie informacjami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,stosować strategie organizacyjne dotyczące systemów,released,skill/competence,cross-sector,,"Wdrażanie wewnętrznych zasad związanych z rozwojem, wewnętrznym i zewnętrznym stosowaniem systemów technologicznych, takich jak systemy oprogramowania, systemy sieciowe i telekomunikacyjne, w celu osiągnięcia szeregu celów dotyczących efektywnych działań i wzrostu organizacji.",http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1 | http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f | http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf,wykazywać się lojalnością | postępować zgodnie z polityką przedsiębiorstwa | przestrzeganie procedur operacyjnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,proponować teleinformatyczne rozwiązania problemów biznesowych,released,skill/competence,cross-sector,proponować techniczne rozwiązania problemów biznesowych | przedstawiać techniczne rozwiązania problemów biznesowych | przedstawiać teleinformatyczne rozwiązania problemów biznesowych | proponować rozwiązania z zakresu ICT dla problemów biznesowych,"Proponować rozwiązania problemów biznesowych, korzystając ze środków ICT, aby usprawnić procesy biznesowe.",http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800 | http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce | http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,rozwiązywać problemy techniczne | opracowywać strategie rozwiązywania problemów | opracowywanie systemów lub aplikacji ict | znajdować rozwiązania problemów
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,obliczać koszty prac naprawczych,released,skill/competence,sector-specific,,Obliczanie kosztów materiałów i robocizny czynności naprawczych; znajomość odpowiednich programów komputerowych.,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186 | http://data.europa.eu/esco/skill/cfbde1b6-8e47-4b83-b430-3d5f7f38d69a | http://data.europa.eu/esco/skill/b917784a-d7c9-437c-be6e-0de41067fa62,wykonywać obliczenia | szacować koszty operacyjne | szacowanie zapotrzebowania na zasoby
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,oprogramowanie do zarządzania nieruchomościami,released,knowledge,sector-specific,,"Funkcje i działanie oprogramowania, które umożliwia zarządzanie codziennymi operacjami w firmach zajmujących się zakwaterowaniem, w celu optymalizacji zasobów i procesów, takich jak rejestracja rezerwacji, ustalanie cen pokoi, analiza danych o przychodach lub fakturowanie.
	",http://data.europa.eu/esco/isced-f/1013,"hotele, restauracje i catering"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,obsługiwać systemy integracji multimediów,released,skill/competence,occupation-specific,,"Obsługiwać systemy integracji multimediów do zastosowań w sztukach widowiskowych i wydarzeniach podczas instalacji, konfiguracji, prób i występów na żywo.
   ",http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,obsługa sprzętu audiowizualnego
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,symulacja komputerowa,released,knowledge,cross-sector,program symulacji komputerowej,"Program uruchamiany na komputerze, który reprezentuje dynamiczne reakcje systemu w celu zbadania zachowania modelu matematycznego przy użyciu modelu rzeczywistego systemu złożonego z równań matematycznych.
	",http://data.europa.eu/esco/isced-f/0611,obsługa i użytkowanie komputerów
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,released,knowledge,sector-specific,,"Program komputerowy WizIQ jest platformą e-learningową służącą do tworzenia, administrowania, organizowania, sprawozdawczości i realizacji programów nauczania za pośrednictwem nośników elektronicznych lub programów szkoleniowych.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,systemy zarządzania nauczaniem | projektowanie baz danych i sieci oraz administrowanie nimi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administrować systemem ICT,released,skill/competence,sector-specific,administrować systemem teleinformatycznym | obsługiwać system ICT | zarządzać systemem ICT | administrować elementami systemu ICT | administrować siecią i systemem ICT,"Obsługa komponentów systemu teleinformatycznego, utrzymując konfigurację, zarządzając użytkownikami, monitorując wykorzystanie zasobów, wykonując kopie zapasowe oraz instalując sprzęt lub oprogramowanie w celu spełnienia ustalonych wymogów.",http://data.europa.eu/esco/skill/fbbcb9ab-4b95-4e57-a756-30d08b7da7a5 | http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,utrzymywać system ICT | zakładanie systemów komputerowych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,przeprowadzanie testów socjotechnicznych,released,skill/competence,sector-specific,testowanie ataków socjotechnicznych | wykonaj testy socjotechniczne | test inżynierii społecznej | przeprowadzać ataki socjotechniczne,"Przeprowadzanie symulowanych ataków socjotechnicznych służących zidentyfikowaniu luk w stanie cyberbezpieczeństwa organizacji. Testy socjotechniczne mogą obejmować wysyłanie wiadomości e-mail mających na celu wyłudzenie informacji, podejmowanie prób uzyskania informacji pod fałszywym pozorem lub inne formy manipulacji wykorzystywane przez osoby przeprowadzające ataki w celu uzyskania informacji szczególnie chronionych lub nieuprawnionego dostępu do systemów.",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838,monitorowanie bezpieczeństwa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,zarządzać danymi badawczymi,released,skill/competence,cross-sector,,"Tworzyć i analizować dane naukowe pochodzące z jakościowych i ilościowych metod badawczych. Przechowywać i utrzymywać dane w bazach danych badawczych. Wspierać ponowne wykorzystywanie danych naukowych i znać zasady zarządzania otwartymi danymi.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,zarządzanie informacjami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,druk cyfrowy,released,knowledge,sector-specific,ploter | drukowanie elektroniczne | wydruki cyfrowe,"Technika, która pozwala drukować obraz cyfrowy bezpośrednio na różnych materiałach, głównie za pomocą drukarki atramentowej lub drukarki laserowej.",http://data.europa.eu/esco/isced-f/0211,techniki audiowizualne i produkcja medialna
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,Cain and Abel (narzędzie do testów penetracyjnych),released,knowledge,sector-specific,,"Oprogramowanie Cain i Abel to narzędzie do odzyskiwania haseł, w ramach którego testuje się system operacyjny Microsoft ze względu na uchybienia w zakresie bezpieczeństwa i potencjalnie nieuprawniony dostęp do informacji systemowych. Narzędzie odkodowuje, odszyfrowuje i odkrywa hasła za pomocą takich środków jak ataki brute force i kryptoanalityczne, zbieranie pakietów w sieci i analiza protokołów.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,tworzenie i analizowanie oprogramowania i aplikacji | narzędzie do testów penetracyjnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,cykl życia rozwoju systemów,released,knowledge,cross-sector,cykl życia rozwoju oprogramowania | cykl życia tworzenia systemów  cykl życia budowy systemów | cykl życia rozwoju aplikacji,"Kolejność działań, takich jak planowanie, tworzenie, testowanie i rozmieszczanie oraz modele rozwoju i zarządzania cyklem życia systemu.",http://data.europa.eu/esco/isced-f/0613,tworzenie i analizowanie oprogramowania i aplikacji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,oprogramowanie dotyczące systemu planowania zasobów przedsiębiorstwa w zakresie transportu towarów,released,knowledge,cross-sector,,"Oprogramowanie do zarządzania przedsiębiorstwem w celu gromadzenia, zarządzania i interpretowania danych dotyczących wysyłki, płatności, zapasów, produkcji stosowane podczas transportu i dystrybucji.",http://data.europa.eu/esco/isced-f/0413,zarządzanie i administracja
